key,caption,image_path,label
1454,疫情就是命令 ,train/img/875.jpg,1
3997,记者从法治日报社获悉备受关注的网络大V罗昌平侮辱英烈案宣判后,train/img/3418.jpg,0
1928,所有中职高职大学学生11月5日前离校挖鼻挖鼻区区一百多人感染怕什么doge河南疫情郑州新冠肺炎 ,train/img/1349.jpg,1
3059,上海市卫健委通报5月26日024时上海新增本土新冠肺炎确诊病例45例和无症状感染者219例,train/img/2480.jpg,0
7166,韩联社报道称据韩国国防部9日消息,val/img/181.jpg,0
2387,记者从上海交通大学医学院附属瑞金医院获悉4月30日,train/img/1808.jpg,0
2324,2023年4月14日晚中国在境内进行了一次陆基中段反导拦截技术试验,train/img/1745.jpg,0
3805,8月29日凌晨山东东营公安局垦利分局民警王亮在连续执行抓捕任务后,train/img/3226.jpg,0
2130,近日甘肃的张彦妮收到清华大学 录取通知书,train/img/1551.jpg,0
631,英国女王英国女王去世 蜡烛蜡烛蜡烛蜡烛蜡烛 ,train/img/52.jpg,1
377, 警情通报9月6日下午，岳麓区博才梅溪湖小学教师宋某明 (男，40岁)在组织课后服务时致一名学生额部受伤。接警后，公安机关立即全面开展调查取证。目前，宋某明因涉嫌故意伤害罪，被我局依法刑事  ,test/img/1106.jpg,0
3807,6月18日4时28分上海市金山区中石化上海石化有限公司化工部发生火灾,train/img/3228.jpg,0
3755,据浙江省政府网站浙江省民呼我为统一平台消息近日,train/img/3176.jpg,0
3992,据微信公号浙江天平今天被告人许国利故意杀人上诉一案进行了二审宣判,train/img/3413.jpg,0
1010,重庆疫情防控网友说重庆很多航班取消了 ,train/img/431.jpg,1
2794,北海海城区新增80个高风险 7月15日广西北海市海城区新冠肺炎疫情防控指挥部办公室发布关于增加海城区疫情防控高中风险区的通告,train/img/2215.jpg,0
7233,7月26日024时31个省自治区直辖市和新疆生产建设兵团报告新增确诊病例120例,val/img/248.jpg,0
297,正提“第三世界”和中国，拜登讲话被“掐断”。“今日俄罗斯”报道称，正在访问越南的美国总统拜登10日举行新闻发布会并发表讲话，当他漫无目的地谈论“第三世界”以及提及中国时，白宫新闻秘书卡琳   ,test/img/1026.jpg,0
953,天津城建大学的瓜完整版来了或许这才是真正的爱情 污吃瓜 ,train/img/374.jpg,1
2885,据台湾联合新闻网24日报道台湾南部近来旱情加剧,train/img/2306.jpg,0
7310,上海市卫健委通报 6月9日024时上海新增本土新冠肺炎确诊病例6例和无症状感染者5例,val/img/325.jpg,0
3460,滴滴公司存在哪些违法违规行为 7月21日国家互联网信息办公室公布对滴滴全球股份有限公司依法作出网络安全审查相关行政处罚的决定,train/img/2881.jpg,0
0,分享图片,test/img/729.jpg,1
3311,4月26日024时江西省新增本土确诊病例55例其中上饶市54例,train/img/2732.jpg,0
2509,未来不足惧过往无须泣,train/img/1930.jpg,0
7176,7月10日024时安徽省报告新增本土确诊病例9例宿州市泗县,val/img/191.jpg,0
3341,据彭博社2日消息一位知情人士透露,train/img/2762.jpg,0
3503,据中日友好医院中国共产党的优秀党员七一勋章获得者,train/img/2924.jpg,0
7192,外交部发言人毛宁宣布应国务委员兼外长秦刚邀请日本外相林芳正将于4月1日至2日访问中国,val/img/207.jpg,0
269, 据美国广播公司等美媒最新消息，美国众议长麦卡锡12日宣布，将于13日对美总统拜登进行弹劾调查。报道称，麦卡锡希望从拜登和他的儿子亨特那里获得相关文件。   ,test/img/998.jpg,0
1468,再过三个月中国最大的烦恼就是钱太多是的钱太多了要漫流了 一方面因为对美国和瑞士银行业倒闭的恐慌现在从美国和瑞士的钱都流到香港了香港,train/img/889.jpg,1
3978,6月30日凌晨4时许原二战时期日军慰安妇制度受害幸存者雷金二老人在湖南华容的家中去世,train/img/3399.jpg,0
85,浦发银行开发了一个新的品种二胎贷史上最大的恐怖片来了,test/img/814.jpg,1
309,据英国广播公司9日报道，土耳其加密货币富豪法鲁克·法提赫·奥泽尔因欺诈被判入狱11196年。报道称，2021年，奥泽尔在他的加密货币交易平台Thodex突然倒闭后，卷款20亿美元逃往阿尔巴尼亚，受害者,test/img/1038.jpg,0
1184,我不想开学啊开学的话我每天要开那么那么那么那么远的车去上班要知道导航上都显示前面没有路了的时候我距离目的地还得开十五到二十分钟呢呀允悲允悲 就,train/img/605.jpg,1
1378,中国野生动物保护协会这个熊猫宝宝怎么去了青海去了吗这里光秃秃的有竹笋竹子吃吗感觉需要救助呀 ,train/img/799.jpg,1
7321,12日武警湖北省总队随州支队战士李林雨巡逻时,val/img/336.jpg,0
203,据韩国“MBC News” 15日报道，韩国国会警备队称，当天中午12时左右，韩国国会大厅内发生一起骚乱事件。报道称，一名70多岁的男性进入首尔市国会大楼后，拿出一张纸和一把刀具，称“国家正在灭亡”，,test/img/932.jpg,0
942,无法无天女孩子一个人坐电梯要小心了 ,train/img/363.jpg,1
3634,当地时间4月10日上午伊朗外交部发言人卡纳尼在例行记者会上宣布,train/img/3055.jpg,0
1992,来来来排着队的来广东华兴银行 ,train/img/1413.jpg,1
3055,法国总统马克龙于5日下午抵达北京开始对中国的国事访问,train/img/2476.jpg,0
155,对Soviet Union的正确评论是什么？ —— 这世间无论多么崇高的理想，都不应把广大人民的苦痛作为代价。,test/img/884.jpg,1
1514,网友烈士子女高考加20分引起其他家长不满女孩哭着说我把20分给你们你们能把爸爸还给我吗悲伤 ,train/img/935.jpg,1
3128,早安你好从小目标开始,train/img/2549.jpg,0
2271,6月22日0时至24时北京新增3例本土确诊病例,train/img/1692.jpg,0
2293,美国政府机构28日发布的一份报告显示美国2020至2021学年发生的校园枪击案数量创下20年来新高,train/img/1714.jpg,0
1775,阿富汗塔利班政权打死了几名坚上学的女学生并坚持要焚烧尸体示众以起到警示作用由于场面过于血腥对照片做了模糊处理哦买嘎是阿塔哥哥 http,train/img/1196.jpg,1
7102,图一俄军把红旗插到了乌克兰在马里乌波尔的伊里奇钢铁厂 图三1945年4月16日 苏联红军向柏林发起总攻苏联红军柏林插旗图二地下七层呵呵 ,val/img/117.jpg,1
2207, 德国经济部12日宣布将重新审议中远集团旗下公司入股德国汉堡港码头的计划,train/img/1628.jpg,0
1016,上海疫情 我说不知道真假是客气客气截图都是那个外国人自己说的话真假其实特别清楚哪怕是造谣也是这老外自己在造建议评论里那些队形很整齐假装追求真,train/img/437.jpg,1
2349,历史一刻转发见证,train/img/1770.jpg,0
3021,今天的国宝睡前故事来自陕西历史博物馆藏品唐代镶金嵌宝珠玉臂环,train/img/2442.jpg,0
2695,南部战区新闻发言人田军里空军大校表示4月10日,train/img/2116.jpg,0
1718,最后虚惊一场 我把菜都选好了 哈哈哈哈哈现在回去路上刚好自己买点了 不用着急了并不简单 ,train/img/1139.jpg,1
1833,陕西榆林出现铁笼女悲惨遭遇堪比丰县的铁链女警方调查今天3月1日榆林市公安局通报2022年3月1日0时许微信公众号现实的模样发布陕西,train/img/1254.jpg,1
